course_id,department,enroll,weekdays,start,end,location,capacity,instructor
3279,CSE,18,M,2:30 PM,4:25 PM,Tate Hall B63,18,"Janas, Michael Robert"
3280,CSE,18,Th,11:15 AM,12:05 PM,Tate Hall B50,20,"Xing, Liangtai"
3281,CSE,18,M,4:40 PM,6:35 PM,Tate Hall B63,18,"Xing, Liangtai"
3282,CSE,18,Th,11:15 AM,12:05 PM,Blegen Hall 105,20,"Crossman, Bryan James"
3283,CSE,18,T,3:35 PM,5:30 PM,Tate Hall B61,18,"Crossman, Bryan James"
3284,CSE,18,Th,11:15 AM,12:05 PM,Mechanical Engineering 18,20,"A P, Merin; Wang, Yuting"
3285,CSE,18,W,8:00 AM,9:55 AM,Tate Hall B23,18,"Wang, Yuting"
3286,CSE,16,Th,11:15 AM,12:05 PM,Mechanical Engineering 18,20,"A P, Merin; Wang, Yuting"
3287,CSE,18,Th,12:20 PM,1:10 PM,Folwell Hall 116,20,"Janas, Michael Robert"
3288,CSE,18,W,4:40 PM,6:35 PM,Tate Hall B61,18,"Janas, Michael Robert"
3289,CSE,17,Th,12:20 PM,1:10 PM,Cooke Hall 215,20,"Xing, Liangtai"
3290,CSE,17,Th,1:25 PM,3:20 PM,Tate Hall B61,18,"Xing, Liangtai"
3291,CSE,18,Th,12:20 PM,1:10 PM,Bruininks Hall 512A,20,"Crossman, Bryan James"
3292,CSE,18,Th,3:35 PM,5:30 PM,Tate Hall B23,18,"Crossman, Bryan James"
3293,CSE,18,T,6:50 PM,8:45 PM,Tate Hall B23,18,"A P, Merin"
3294,CSE,18,Th,12:20 PM,1:10 PM,Vincent Hall 301,20,"Wang, Yuting"
3295,CSE,18,F,8:00 AM,9:55 AM,Tate Hall B61,18,"Wang, Yuting"
3296,CSE,138,MTWF,2:30 PM,3:20 PM,Tate Hall B20,150,"Pawloski, Gregory J"
3297,CSE,16,Th,2:30 PM,3:20 PM,Folwell Hall 10,20,"Janas, Michael Robert"
3298,CSE,16,M,12:20 PM,2:15 PM,Tate Hall B23,18,"Janas, Michael Robert"
3299,CSE,18,Th,2:30 PM,3:20 PM,Wulling Hall 240,20,"Gross, Axel P"
3300,CSE,18,W,9:05 AM,11:00 AM,Tate Hall B61,18,"Gross, Axel P"
3301,CSE,17,Th,2:30 PM,3:20 PM,Kolthoff Hall 132,20,"Chirame, Sanket Sanjivan"
3302,CSE,17,W,11:15 AM,1:10 PM,Tate Hall B26,18,"Chirame, Sanket Sanjivan"
3303,CSE,18,Th,3:35 PM,4:25 PM,Wulling Hall 240,20,"Gross, Axel P"
3304,CSE,18,F,8:00 AM,9:55 AM,Tate Hall B23,18,"Gross, Axel P"
3305,CSE,17,Th,3:35 PM,4:25 PM,Appleby Hall 226,20,"Chirame, Sanket Sanjivan"
3306,CSE,17,F,10:10 AM,12:05 PM,Tate Hall B63,18,"Chirame, Sanket Sanjivan"
3307,CSE,183,MW,5:45 PM,7:05 PM,Tate Hall B50,252,"Wynveen, Aaron S"
3308,CSE,10,Th,10:10 AM,12:05 PM,Tate Hall B61,18,"Wynveen, Aaron S"
3309,CSE,14,F,1:25 PM,3:20 PM,Tate Hall B61,18,"Williams, Zachary Scott"
3310,CSE,143,MTWF,8:00 AM,8:50 AM,Tate Hall B20,150,"Cronin-Hennessy, Daniel P"
